PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,"FRONT CT
TOUCHES","TIME OF
POSS","AVG SEC PER
TOUCH","AVG DRIB PER
TOUCH","PTS PER
TOUCH","ELBOW
TOUCHES","POST
UPS","PAINT
TOUCHES","PTS PER
ELBOW TOUCH","PTS PER
POST TOUCH","PTS PER
PAINT TOUCH",Year
Enes Kanter,NYK,70,26,44,25.8,14.1,51.4,29.8,1.5,1.78,0.44,0.275,3.5,5.9,7.9,0.517,0.524,1.005,18
Johnny O'Bryant III,CHA,36,15,21,10.5,4.8,17.3,10.1,0.5,1.77,0.77,0.275,1,1.3,1.9,0.333,0.447,0.667,18
Tyler Johnson,MIA,71,38,33,28.5,11.6,42.1,27.6,2,2.87,2.27,0.275,0.5,0,0.7,0.486,0,0.585,18
Jerami Grant,OKC,79,48,31,20.3,8.4,30.9,16.5,0.8,1.59,0.56,0.272,1.7,1,3.2,0.693,0.584,0.839,18
Kemba Walker,CHA,80,36,44,34.2,22.1,81.2,25.5,7.8,5.77,5.51,0.272,0.2,0,0.5,0.375,0,0.535,18
Nene,HOU,51,42,9,14.6,6.5,23.9,14,0.6,1.61,0.43,0.272,3.3,0.6,4.2,0.633,0.806,0.759,18
Wesley Matthews,DAL,63,20,43,33.8,12.7,46.8,34.5,1.8,2.28,1.41,0.272,1.4,2.5,1.2,0.124,0.346,0.513,18
Joffrey Lauvergne,SAS,55,30,25,9.7,4.1,15.1,9.8,0.5,1.83,0.7,0.271,2,1.1,3.5,0.389,0.467,0.821,18
Mario Hezonja,ORL,75,21,54,22.1,9.6,35.5,21.1,1.4,2.39,1.29,0.271,0.7,0.2,1.1,0.571,0.308,0.975,18
Robert Covington,PHI,79,51,28,31.7,12.7,46.9,30,1.1,1.44,0.47,0.271,0.8,0.1,1.5,0.468,0.571,0.78,18
Ben McLemore,MEM,56,7,49,19.5,7.5,27.9,19,0.9,1.91,1.13,0.27,0.9,0,1.4,0.48,0,0.775,18
Greg Monroe,BOS,50,21,29,20.5,10.3,38.3,25.7,1.4,2.18,0.72,0.27,3.7,5,5.3,0.355,0.454,0.898,18
Tyler Dorsey,ATL,56,15,41,17.4,7.2,26.8,19.4,1.3,2.92,2.23,0.27,0.3,0,0.5,0.471,0,0.643,18
Clint Capela,HOU,73,62,11,27.5,13.9,51.6,25.4,1.3,1.48,0.35,0.269,5.2,0.8,10.7,0.519,0.636,0.914,18
Jonas Valanciunas,TOR,77,56,21,22.4,12.7,47.5,25.5,1.4,1.76,0.58,0.268,3.5,2.8,6.7,0.701,0.696,0.949,18
Tyreke Evans,MEM,51,18,33,31.1,19.7,73.6,37.8,5.9,4.79,4.08,0.268,0.5,0.4,1.4,0.643,0.5,0.536,18
Will Barton,DEN,81,46,35,33.1,15.7,58.5,33.3,3.8,3.89,3.09,0.268,0.5,0.1,1.4,0.667,0,1.009,18
C.J. Williams,LAC,38,17,21,18.6,5.5,20.6,14.7,0.7,2.03,1.21,0.267,0.1,0,0.7,0.8,0,1.04,18
